bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,log_pages,log_ratings,log_reviews,z_score,z_cat,decile,revRate,sqrt_pages,sizerating^2,size0,sizeZ0^2,size5,size10,size^2,size^3,sizesqrtpages,sizeRevRate
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,439785960,9780000000000.0,eng,652,1944099,26249,6.480044562000001,14.48030919,10.17538317,2.390453241,6,10,0.013501883999999999,25.534290669607408,20.793599999999998,10.405453241,108.2734571506374,11.952266204999999,23.904532409999998,5.714266697407403,13.659687346755893,25.534290669607408,1.3501884
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,439358078,9780000000000.0,eng,870,1996446,27613,6.768493212,14.50687916,10.22604196,2.1170732119999998,6,10,0.013831078,29.49576240750525,20.160100000000003,10.132073212,102.658907573328,10.585366059999998,21.170732119999997,4.481998984967996,9.488719987286935,29.49576240750525,1.3831078
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,439554934,9780000000000.0,eng,320,5629932,70390,5.768320996,15.54360792,11.16180649,2.038964632,6,10,0.012502815,17.88854381999832,19.9809,10.053964632,101.08220482150689,10.194823159999999,20.389646319999997,4.157376770546895,8.476744197043498,17.88854381999832,1.2502815
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,439554896,9780000000000.0,eng,352,6267,272,5.863631176,8.74305305,5.605802066,1.8046388930000001,5,10,0.043401947,18.76166303929372,19.4481,9.819638893,96.42530798891828,9.023194465000001,18.046388930000003,3.256721534128266,5.877206344158496,18.76166303929372,4.3401947000000005
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,9780000000000.0,eng,435,2149872,33964,6.0753460310000005,14.58091886,10.43305642,2.3513989509999997,6,10,0.01579815,20.85665361461421,20.702499999999997,10.366398951,107.46222721129392,11.756994755,23.51398951,5.5290770267639,13.00106592073083,20.85665361461421,1.579815
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9780000000000.0,eng,815,3602,258,6.7031881129999995,8.189244526,5.552959585,1.687476024,5,10,0.07162687400000001,28.548204847240395,19.1844,9.702476024000001,94.13804099629486,8.43738012,16.87476024,2.8475753315748484,4.805215098566407,28.548204847240395,7.162687400000001
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,345453743,9780000000000.0,eng,815,240189,3954,6.7031881129999995,12.38918139,8.282483004,1.687476024,5,10,0.016462036,28.548204847240395,19.1844,9.702476024000001,94.13804099629486,8.43738012,16.87476024,2.8475753315748484,4.805215098566407,28.548204847240395,1.6462036
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9780000000000.0,eng,215,4416,408,5.370638027999999,8.392989587999999,6.011267173999999,1.062607386,5,9,0.09239130400000001,14.66287829861518,17.8084,9.077607386,82.40295585436176,5.31303693,10.62607386,1.1291344567817532,1.1998266135633886,14.66287829861518,9.2391304
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,739322206,9780000000000.0,eng,6,1222,253,1.791759469,7.10824414,5.533389489,1.062607386,5,9,0.20703764300000002,2.449489742783178,17.8084,9.077607386,82.40295585436176,5.31303693,10.62607386,1.1291344567817532,1.1998266135633886,2.449489742783178,20.703764300000003
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,517149257,9780000000000.0,en-US,815,2801,192,6.7031881129999995,7.937731775,5.257495372,1.687476024,5,10,0.068546948,28.548204847240395,19.1844,9.702476024000001,94.13804099629486,8.43738012,16.87476024,2.8475753315748484,4.805215098566407,28.548204847240395,6.8546948
21,A Short History of Nearly Everything,Bill Bryson-William Roberts,4.2,076790818X,9780000000000.0,eng,544,228522,8840,6.298949247,12.33938776,9.087042156,0.984498806,4,9,0.038683365,23.323807579381203,17.64,8.999498806,80.99097875919543,4.922494029999999,9.844988059999999,0.9692378990154256,0.9542135543106349,23.323807579381203,3.8683365
22,Bill Bryson's African Diary,Bill Bryson,3.43,767915062,9780000000000.0,eng,55,6993,470,4.007333185,8.852664928,6.152732695,-2.022681513,1,1,0.067210067,7.416198487095663,11.7649,5.992318487,35.90788084964198,-10.113407565000001,-20.226815130000002,4.09124050303197,-8.275276530719587,7.416198487095663,6.7210067
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,767910435,9780000000000.0,eng,256,2020,124,5.545177444,7.61085279,4.820281566,-0.265238469,3,4,0.061386139000000006,16.0,15.0544,7.749761531000001,60.058803787367474,-1.326192345,-2.65238469,0.07035144543746395,-0.018659909679769972,16.0,6.138613900000001
24,In a Sunburned Country,Bill Bryson,4.07,767903862,9780000000000.0,eng,335,68213,4077,5.814130532,11.13039044,8.313116703,0.47679303799999995,4,7,0.059768666,18.303005217723125,16.5649,8.491793038,72.11054900022529,2.3839651899999996,4.767930379999999,0.2273316010852694,0.10839012471484968,18.303005217723125,5.9768666
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780000000000.0,eng,304,47490,2153,5.717027701,10.76827444,7.674617497000001,-0.18712989,3,4,0.04533586,17.435595774162696,15.209999999999999,7.827870110000001,61.27555045903143,-0.93564945,-1.8712989,0.035017595731412096,-0.006552838837283615,17.435595774162696,4.533586
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9780000000000.0,en-US,299,43779,2146,5.700443572999999,10.68690953,7.671360923,-0.460509919,3,3,0.049018936,17.291616465790582,14.6689,7.554490081000001,57.0703203839274,-2.302549595,-4.60509919,0.21206938549738655,-0.09766005553778126,17.291616465790582,4.9018936
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.87,380713802,9780000000000.0,eng,254,46397,2127,5.537334267,10.74499008,7.662467815,-0.30429275899999997,3,4,0.045843481,15.937377450509228,14.9769,7.710707241000001,59.455006156409844,-1.5214637949999998,-3.0429275899999997,0.09259408317983206,-0.02817570903786659,15.937377450509228,4.5843481
28,Notes from a Small Island,Bill Bryson,3.92,380727501,9780000000000.0,eng,324,76476,3159,5.780743516,11.24473225,8.058010801,-0.10902131,3,5,0.041307077000000005,18.0,15.366399999999999,7.90597869,62.504499046734125,-0.54510655,-1.0902131,0.011885646034116099,-0.0012957887008356419,18.0,4.1307077
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,380715430,9780000000000.0,eng,270,26672,1986,5.5984219589999995,10.1913696,7.593877845,-0.03091273,3,5,0.074460108,16.431676725154983,15.5236,7.984087270000001,63.74564953497607,-0.15456365,-0.3091273,0.0009555968760529,-2.954010821826676e-05,16.431676725154983,7.4460108
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9780000000000.0,eng,1728,97731,1536,7.454719948999999,11.48997409,7.336936914,2.507616111,6,10,0.01571661,41.569219381653056,21.068099999999998,10.522616111000001,110.7254498194768,12.538080555,25.07616111,6.288138560146764,15.768237561624368,41.569219381653056,1.571661
32,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618346244,9780000000000.0,eng,1137,2819,139,7.036148494,7.944137491,4.9344739330000005,2.1170732119999998,6,10,0.049308265,33.71943060017473,20.160100000000003,10.132073212,102.658907573328,10.585366059999998,21.170732119999997,4.481998984967996,9.488719987286935,33.71943060017473,4.930826499999999
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,618346252,9780000000000.0,eng,398,2009749,12784,5.986452005,14.513520399999999,9.455949667999999,1.5703131540000002,5,10,0.0063609930000000005,19.949937343260004,18.922499999999996,9.585313154000001,91.87822826024545,7.8515657700000006,15.703131540000001,2.4658834016254283,3.872209141802675,19.949937343260004,0.6360993
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,618260587,9780000000000.0,en-US,1216,1606,139,7.103322062999999,7.381501895,4.9344739330000005,2.1170732119999998,6,10,0.086550436,34.87119154832539,20.160100000000003,10.132073212,102.658907573328,10.585366059999998,21.170732119999997,4.481998984967996,9.488719987286935,34.87119154832539,8.655043599999999
40,Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,9780000000000.0,eng,288,1214,202,5.66296048,7.101675972000001,5.308267697,-1.3197042959999998,2,1,0.166392092,16.97056274847714,13.0321,6.695295704000001,44.826984564000874,-6.598521479999999,-13.197042959999997,1.741619428880855,-2.298422642291131,16.97056274847714,16.6392092
50,Hatchet,Gary Paulsen,3.7,689840926,9780000000000.0,eng,208,254827,11346,5.33753808,12.44834016,9.336620538,-0.968215687,3,2,0.044524324000000004,14.422205101855956,13.690000000000001,7.046784313000001,49.657169153942895,-4.841078435,-9.68215687,0.937441616552882,-0.9076456787931393,14.422205101855956,4.4524324
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,385326505,9780000000000.0,eng,144,1996,326,4.9698133,7.598900457,5.786897381,-0.30429275899999997,3,4,0.16332665300000002,12.0,14.9769,7.710707241000001,59.455006156409844,-1.5214637949999998,-3.0429275899999997,0.09259408317983206,-0.02817570903786659,12.0,16.332665300000002
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9780000000000.0,eng,256,957,112,5.545177444,6.863803391,4.718498871,-1.358758585,2,1,0.11703239300000001,16.0,12.96,6.656241415,44.305549774761204,-6.793792925,-13.58758585,1.846224892311202,-2.508573922268546,16.0,11.703239300000002
59,The Changeling Sea,Patricia A. McKillip,4.07,141312629,9780000000000.0,eng,137,4319,289,4.919980926,8.370779172999999,5.666426688,0.47679303799999995,4,7,0.066913637,11.704699910719626,16.5649,8.491793038,72.11054900022529,2.3839651899999996,4.767930379999999,0.2273316010852694,0.10839012471484968,11.704699910719626,6.6913637
67,The Known World,Edward P. Jones,3.83,61159174,9780000000000.0,eng,388,28962,2576,5.96100534,10.2737399,7.853993087,-0.460509919,3,3,0.08894413400000001,19.697715603592208,14.6689,7.554490081000001,57.0703203839274,-2.302549595,-4.60509919,0.21206938549738655,-0.09766005553778126,19.697715603592208,8.894413400000001
75,Uncommon Carriers,John McPhee,3.95,374280398,9780000000000.0,en-US,248,1561,192,5.513428746000001,7.353081921,5.257495372,0.00814156,4,5,0.12299807800000001,15.748015748023622,15.602500000000001,8.023141560000001,64.37080049179924,0.0407078,0.0814156,6.628499923360002e-05,5.396632983603086e-07,15.748015748023622,12.299807800000002
77,The Control of Nature,John McPhee,4.24,374522596,9780000000000.0,en-US,288,3365,290,5.66296048,8.121183242,5.669880922999999,1.140715966,5,9,0.08618127800000001,16.97056274847714,17.977600000000002,9.155715966,83.82713485006732,5.70357983,11.40715966,1.301232915087313,1.48433716172482,16.97056274847714,8.618127800000002
78,Annals of the Former World,John McPhee,4.33,374518734,9780000000000.0,eng,720,2966,211,6.579251212000001,7.994969523,5.351858133,1.492204574,5,10,0.071139582,26.832815729997478,18.7489,9.507204574000001,90.38693881188654,7.461022870000001,14.922045740000002,2.2266744906665217,3.322653859781704,26.832815729997478,7.113958200000001
79,Coming Into the Country,John McPhee,4.22,374522871,9780000000000.0,eng,448,5452,245,6.1047932320000005,8.603737792999999,5.501258211000001,1.062607386,5,9,0.044937637999999995,21.166010488516726,17.8084,9.077607386,82.40295585436176,5.31303693,10.62607386,1.1291344567817532,1.1998266135633886,21.166010488516726,4.493763799999999
93,Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,753454947,9780000000000.0,eng,352,150657,2175,5.863631176,11.92276101,7.684783943999999,0.125304429,4,6,0.014436767,18.76166303929372,15.8404,8.140304429,66.26455619679702,0.626522145,1.25304429,0.01570119992701604,0.0019674298914695867,18.76166303929372,1.4436767
